condition,clickStatus,targetH,targetS,targetL,distr1H,distr1S,distr1L,distr2H,distr2S,distr2L,allSpeakerContents
close,target,126,48,50,165,98,50,153,70,50,darkest green
close,target,299,53,50,300,29,50,286,35,50,brightest pink
close,target,339,13,50,357,52,50,6,13,50,grey; not grey-brown or red
close,target,67,16,50,130,31,50,76,32,50,grey-green
split,target,254,20,50,248,46,50,290,99,50,grey-purple
far,target,94,24,50,169,76,50,115,81,50,olive (not teal or bright green)
split,target,238,64,50,238,50,50,32,94,50,bright blue (not one with hint of purple)
far,target,191,5,50,82,78,50,4,19,50,grey
split,target,250,35,50,265,54,50,355,72,50,dull purple
split,target,162,79,50,97,68,50,51,50,50,teal
close,target,88,50,50,138,58,50,150,79,50,olive
split,target,128,80,50,100,88,50,8,23,50,"green, but not neon green"
split,target,148,32,50,160,82,50,359,1,50,grey-teal (good on the last one)
far,target,58,52,50,350,6,50,209,62,50,orange
far,target,143,17,50,6,40,50,327,87,50,grey
close,target,195,51,50,193,95,50,194,78,50,grey-blue
far,target,101,89,50,16,14,50,277,90,50,green
close,target,105,78,50,76,89,50,147,84,50,darkest green
far,target,340,64,50,251,7,50,64,18,50,pink
close,target,71,64,50,130,67,50,107,28,50,yellow
split,target,231,32,50,206,39,50,354,47,50,purple
far,target,125,96,50,12,77,50,237,49,50,green
split,target,1,42,50,352,11,50,126,82,50,red
far,target,285,33,50,161,58,50,355,29,50,purple
split,target,136,13,50,99,19,50,359,87,50,darker grey (not the lighter green-grey)
split,target,164,11,50,129,11,50,295,47,50,normal grey
far,target,16,68,50,216,80,50,280,72,50,orange
far,target,130,36,50,320,96,50,279,99,50,green (nice job!  I think we got one wrong.  nice working with you)
split,target,96,79,50,139,94,50,251,75,50,lime green
close,target,191,3,50,281,40,50,309,34,50,gray
far,target,32,8,50,110,76,50,355,28,50,gray
far,target,168,4,50,245,58,50,139,81,50,gray
split,target,5,39,50,353,61,50,303,95,50,the very dull red / lighter
close,target,295,4,50,356,29,50,5,24,50,gray
far,target,335,26,50,225,37,50,357,87,50,the purplish one
far,target,271,27,50,31,86,50,137,11,50,purple
split,target,257,75,50,282,71,50,26,14,50,blue
close,target,316,60,50,306,64,50,301,18,50,the slightly darker pink
split,target,225,21,50,289,21,50,77,32,50,blue
close,target,96,55,50,118,57,50,76,22,50,lime green
far,target,201,80,50,95,73,50,155,23,50,brigher blue
close,target,210,46,50,232,51,50,215,14,50,the medium blue
split,target,225,15,50,185,9,50,160,65,50,the dark bluish gray
far,target,349,39,50,249,52,50,155,39,50,pink
close,target,46,86,50,65,86,50,58,49,50,the orangeish one
close,target,85,34,50,106,29,50,161,53,50,light green
far,target,265,31,50,86,52,50,223,3,50,bright purple
close,distr2,338,2,50,47,3,50,84,13,50,the darker gray
far,target,155,77,50,323,79,50,241,5,50,turquoise
far,target,117,81,50,4,14,50,55,60,50,green
split,distr1,140,23,50,146,12,50,75,96,50,blue gray
close,target,251,36,50,288,39,50,291,58,50,blue
close,target,314,66,50,279,99,50,294,57,50,bright pink
close,target,75,17,50,208,0,50,102,14,50,the less greenish gray
split,target,222,90,50,231,46,50,293,86,50,bright blue
far,target,254,4,50,318,99,50,166,95,50,gray
split,distr1,269,10,50,232,5,50,177,66,50,the darker gray
far,target,5,39,50,309,27,50,198,65,50,red
close,target,190,48,50,176,20,50,207,25,50,sky blue
far,target,148,69,50,227,40,50,18,82,50,green
split,target,167,55,50,176,56,50,236,78,50,"light blue, but the slightly duller one"
close,target,64,20,50,80,39,50,103,54,50,the more brownish one
far,target,188,58,50,112,42,50,271,20,50,blue
far,target,122,11,50,159,78,50,11,68,50,gray
split,target,253,4,50,352,13,50,95,70,50,the more bluish purple
close,target,157,19,50,149,8,50,100,29,50,the bluish gray
close,target,131,57,50,114,69,50,152,89,50,the one that's not bright green and not mint green
close,target,232,9,50,224,32,50,205,24,50,the most reddish purple
split,target,349,46,50,338,19,50,218,85,50,red
split,target,279,30,50,325,16,50,104,69,50,darker purple
split,target,189,31,50,27,1,50,39,47,50,blue
split,target,263,81,50,225,92,50,176,96,50,purple
far,target,316,40,50,26,47,50,238,14,50,pink
split,target,217,74,50,242,25,50,328,0,50,bright blue
far,target,218,32,50,279,61,50,189,95,50,dark blue
split,target,71,7,50,53,17,50,90,90,50,dark gray
split,target,276,77,50,237,59,50,331,92,50,purple
close,target,168,30,50,79,12,50,129,20,50,blue
far,target,79,83,50,37,20,50,262,96,50,green
far,target,25,21,50,255,86,50,13,88,50,brown
close,distr2,75,19,50,133,35,50,98,21,50,"olive green, darkest"
far,target,225,53,50,34,44,50,151,71,50,blue
close,target,82,19,50,82,36,50,154,54,50,"darkest shade, army colored"
split,target,166,89,50,144,49,50,46,36,50,brightest teal
split,target,304,50,50,313,38,50,245,78,50,brightest purple
split,target,46,43,50,30,25,50,296,63,50,gold
far,target,169,93,50,316,45,50,72,84,50,teal/blue
split,target,165,37,50,150,73,50,252,3,50,middle brightness
split,target,108,18,50,71,47,50,314,60,50,dark green
close,distr2,280,57,50,277,96,50,298,51,50,purple on the right
split,distr1,263,66,50,297,31,50,192,85,50,darkest color
split,target,22,49,50,27,55,50,208,59,50,darker orange
split,target,91,27,50,104,38,50,11,47,50,dark green
close,target,136,34,50,93,35,50,104,62,50,middle green
far,target,148,4,50,37,39,50,112,90,50,darkest color
far,target,202,91,50,280,62,50,359,84,50,blue
far,target,37,95,50,183,3,50,287,65,50,orange
far,target,204,69,50,38,81,50,201,2,50,blue
close,target,249,57,50,290,78,50,281,65,50,blue
far,target,268,54,50,16,47,50,66,86,50,purple
split,target,282,73,50,249,28,50,291,2,50,bright purple
far,target,340,18,50,92,20,50,219,20,50,reddish
close,target,310,19,50,328,30,50,342,29,50,bluest purple
far,target,182,15,50,337,99,50,310,36,50,green
split,target,195,15,50,126,8,50,342,50,50,bluest green
close,distr2,260,89,50,231,69,50,248,64,50,just pick a random one
far,target,83,50,50,98,5,50,226,60,50,bright green
close,distr1,126,9,50,111,13,50,62,20,50,darker olive
split,target,164,91,50,106,69,50,257,24,50,bright teal
split,target,295,56,50,273,89,50,56,30,50,magenta
close,target,108,51,50,137,98,50,157,72,50,darkest green
far,target,55,42,50,251,13,50,99,77,50,brown
far,target,127,4,50,8,66,50,314,22,50,grey
close,distr2,233,60,50,283,64,50,253,49,50,light blue
close,distr2,150,97,50,134,35,50,114,81,50,neon green
close,target,85,43,50,138,92,50,92,81,50,brown
split,target,249,62,50,262,57,50,337,52,50,blue
far,target,342,60,50,82,49,50,275,75,50,red
split,target,137,21,50,173,15,50,206,55,50,greenest
split,distr1,260,33,50,312,64,50,7,95,50,dark puprle
split,target,244,32,50,283,61,50,186,83,50,your dumb. this one is dark blue
close,target,106,45,50,77,38,50,139,50,50,middle green
split,target,69,13,50,70,47,50,203,36,50,brown
far,target,221,40,50,174,1,50,155,55,50,blue
close,target,307,75,50,278,83,50,291,67,50,magenta
close,distr1,249,15,50,280,0,50,218,32,50,dark grey
far,distr2,42,58,50,296,1,50,216,56,50,DARK YOU IDIOT. This one is orange
close,distr1,256,58,50,260,30,50,287,73,50,dark purple
far,target,140,30,50,178,87,50,8,23,50,green
split,target,290,95,50,317,98,50,63,12,50,purple
split,distr1,81,30,50,104,19,50,219,6,50,lime green
close,target,277,9,50,208,23,50,356,1,50,purplish
far,target,174,40,50,198,64,50,105,88,50,teal
far,target,262,95,50,15,96,50,202,14,50,purple
close,target,221,71,50,201,18,50,207,52,50,darker blue
split,target,147,36,50,177,28,50,336,33,50,green
far,target,34,19,50,306,85,50,104,39,50,brown
far,target,188,33,50,255,93,50,48,84,50,tealish
close,target,110,4,50,165,20,50,69,10,50,grey
close,target,115,57,50,102,91,50,87,73,50,darker green
far,target,16,26,50,79,16,50,212,93,50,tan orange
far,target,85,82,50,308,65,50,31,79,50,green
far,distr2,73,18,50,323,81,50,41,60,50,ugly tan
split,target,75,65,50,50,88,50,225,87,50,other one / green
split,target,347,36,50,354,49,50,290,84,50,lesser purple
far,target,334,80,50,255,5,50,65,45,50,pink
split,target,352,73,50,343,60,50,279,1,50,red
far,target,46,58,50,247,79,50,172,99,50,yellow
split,distr1,263,60,50,271,22,50,105,8,50,dark purple
split,target,34,49,50,37,11,50,139,47,50,orange
close,target,251,33,50,227,61,50,243,22,50,darker purple
close,target,187,3,50,33,25,50,5,6,50,bluish grey
close,distr1,267,48,50,286,18,50,285,59,50,dark purple
split,distr1,265,11,50,209,5,50,355,75,50,grey
split,target,287,71,50,250,72,50,114,28,50,purple
split,target,137,20,50,56,8,50,170,84,50,green
close,target,24,2,50,29,19,50,350,18,50,grey
close,distr1,89,48,50,148,59,50,122,97,50,medium green
split,target,180,26,50,163,44,50,346,67,50,blue grey
far,target,261,11,50,125,85,50,351,43,50,purple grey
close,target,139,28,50,74,22,50,110,31,50,darkest green
close,target,169,37,50,180,25,50,128,6,50,teal
far,distr1,14,52,50,45,55,50,92,58,50,orange
far,target,18,72,50,228,13,50,297,81,50,orange
far,target,320,5,50,278,75,50,63,50,50,grey
split,target,322,74,50,290,46,50,122,63,50,pink
close,distr1,110,54,50,89,60,50,115,75,50,meduim green
close,distr2,133,28,50,51,28,50,101,41,50,teal
split,distr1,54,43,50,65,45,50,12,96,50,brownish yellow
split,target,180,21,50,107,19,50,289,37,50,blue
close,target,203,92,50,201,50,50,197,43,50,bright blue
close,target,322,22,50,1,8,50,266,20,50,pink puirple
close,target,223,47,50,208,47,50,205,87,50,darkest blue
close,target,217,95,50,234,27,50,256,68,50,blue
far,target,121,75,50,12,48,50,324,15,50,green
split,target,226,75,50,231,27,50,197,53,50,darkest blue
far,target,257,27,50,11,55,50,51,12,50,purple
far,target,247,88,50,205,23,50,167,28,50,blue / you rock
split,target,298,0,50,226,10,50,190,99,50,Gray Box
far,target,210,22,50,107,77,50,189,63,50,Gray Box
split,target,233,6,50,228,13,50,50,59,50,Gray Box
split,distr1,238,98,50,229,54,50,194,71,50,Navy Blue
split,target,239,42,50,227,21,50,162,98,50,Blue
far,target,94,20,50,227,69,50,325,28,50,Greenish
close,target,44,44,50,42,12,50,32,29,50,Brightest Color
close,target,216,68,50,228,75,50,253,18,50,Lighter Blue
far,target,93,67,50,42,73,50,319,25,50,Green
close,target,117,5,50,86,22,50,97,10,50,Most Gray
split,target,139,33,50,139,85,50,240,94,50,Darker Green
split,target,124,63,50,156,57,50,70,11,50,Brighter Green
close,target,75,80,50,118,97,50,107,48,50,Some of these are actually hard to describe hehe. / Yellow
close,target,282,12,50,14,5,50,103,1,50,Purple
close,target,308,20,50,336,28,50,316,3,50,Purple
close,target,243,34,50,295,41,50,277,97,50,Darker Blue
close,target,94,20,50,121,15,50,165,28,50,Brighter Grayish Green
far,target,319,64,50,90,73,50,52,93,50,Pink
close,target,354,63,50,0,73,50,7,55,50,Second Brightest.
far,target,2,81,50,183,0,50,256,40,50,Red
far,target,168,12,50,164,59,50,227,87,50,Grayish
close,target,327,69,50,321,26,50,288,45,50,Pink
far,target,100,30,50,267,67,50,19,73,50,Green / Yeah really enjoying it so far
split,target,13,45,50,353,53,50,212,27,50,Orange
close,distr2,301,17,50,314,60,50,291,77,50,Darker Purple
far,target,20,71,50,320,88,50,63,57,50,Orange
close,target,6,57,50,345,98,50,3,79,50,Darker Brown
split,target,183,12,50,177,25,50,52,59,50,Yeah I can see.  No worries though :) / Darker Grayish Blue
close,distr1,299,34,50,308,52,50,333,66,50,Darker Purple
close,target,111,27,50,98,68,50,104,43,50,Green'ish Gray
far,target,267,45,50,42,8,50,146,39,50,Blue / No idea hehe / Purple ish maybe
split,target,264,42,50,267,14,50,64,76,50,Brightest Purple
far,target,230,59,50,316,71,50,128,76,50,No kidding / Blue
split,target,171,3,50,57,4,50,119,95,50,Gray
close,target,25,38,50,17,89,50,23,80,50,brown
far,target,124,73,50,85,3,50,255,84,50,Green
split,distr1,287,14,50,319,9,50,29,96,50,Grayish Purple / Doh
split,target,122,39,50,57,29,50,257,19,50,Green
split,target,146,72,50,101,46,50,340,58,50,lighter green
far,target,37,24,50,49,67,50,233,40,50,Brown
far,target,132,96,50,160,17,50,43,99,50,Green / This is harder than I expected lol
far,target,205,49,50,86,36,50,39,46,50,Blue
split,target,88,55,50,66,60,50,325,46,50,Green
split,target,72,73,50,73,52,50,317,26,50,Yellow
split,target,141,18,50,69,34,50,238,73,50,Greenish gray
far,target,211,71,50,178,85,50,356,63,50,Regular Blue / Hopefully we get something
close,target,310,23,50,305,58,50,330,71,50,Purple Gray
far,distr1,50,47,50,265,80,50,175,68,50,Not Green or Blue
close,target,252,99,50,271,60,50,246,49,50,Regular Blue / No worries
far,target,207,94,50,101,61,50,37,33,50,Blue
far,target,141,19,50,275,34,50,200,81,50,green
close,target,25,32,50,32,59,50,19,40,50,brown
split,target,252,39,50,221,69,50,38,75,50,purple
far,target,191,54,50,337,48,50,84,91,50,blue
split,target,87,50,50,67,54,50,11,19,50,green
close,distr2,221,52,50,259,46,50,238,36,50,normal blue
close,target,253,20,50,206,25,50,258,37,50,grayish purple
split,target,154,72,50,125,75,50,319,90,50,bluish green
split,distr2,56,49,50,69,53,50,163,99,50,tan
far,target,213,38,50,352,22,50,125,78,50,blue
close,distr1,285,44,50,272,83,50,254,47,50,purple
far,target,177,22,50,290,53,50,163,96,50,gray
far,target,149,87,50,5,51,50,175,21,50,green
split,target,171,28,50,183,45,50,75,70,50,gray
far,target,297,62,50,73,92,50,3,64,50,purple
far,target,221,53,50,171,22,50,338,52,50,blue
split,target,229,31,50,287,35,50,164,65,50,blue
far,target,293,91,50,78,59,50,358,1,50,purple
close,target,272,49,50,237,68,50,225,27,50,purple
close,distr1,138,32,50,177,48,50,173,70,50,forest green
split,target,246,5,50,186,18,50,70,77,50,purple
far,target,23,27,50,234,70,50,107,52,50,brown
close,target,288,91,50,291,58,50,261,63,50,lighter purple
split,target,265,25,50,311,64,50,352,81,50,blue
split,distr1,125,10,50,214,0,50,171,59,50,darker green
close,distr1,292,53,50,301,87,50,200,8,50,purple
split,target,14,5,50,264,5,50,93,47,50,copper
split,target,253,27,50,285,33,50,120,14,50,blue
far,target,157,95,50,317,80,50,356,54,50,green
split,distr1,238,1,50,191,25,50,94,60,50,gray
split,distr1,4,97,50,358,81,50,102,79,50,brighter red
close,target,95,65,50,97,50,50,61,67,50,brighter green
far,target,314,78,50,82,50,50,167,18,50,pink
split,target,278,14,50,14,18,50,289,87,50,gray
far,target,229,61,50,308,77,50,108,41,50,blue
split,target,70,53,50,70,81,50,289,61,50,darker green
close,distr2,228,48,50,260,85,50,227,79,50,darker blue
close,target,148,83,50,111,74,50,93,92,50,pastel green
far,target,316,0,50,97,70,50,353,63,50,gray
far,target,162,22,50,90,50,50,30,7,50,greenish gray
close,distr1,104,41,50,63,35,50,78,67,50,darker green
close,target,136,58,50,80,71,50,121,81,50,grayish green
close,target,155,48,50,157,22,50,115,13,50,green
close,target,146,93,50,71,93,50,108,88,50,more normal green
split,target,224,29,50,223,6,50,128,55,50,blue
far,target,346,37,50,160,72,50,226,30,50,red
far,distr1,174,36,50,349,1,50,5,59,50,green
close,target,138,25,50,72,35,50,92,34,50,forest green
close,target,24,20,50,10,25,50,259,5,50,copper
split,target,15,4,50,202,8,50,244,52,50,reddish gray
close,target,132,30,50,59,34,50,108,47,50,hello / dark green
far,target,189,93,50,3,68,50,327,55,50,light blue
split,target,27,50,50,10,51,50,111,46,50,orange
close,target,55,17,50,101,40,50,90,18,50,brown?
far,target,112,4,50,288,69,50,174,84,50,gray
split,target,231,0,50,201,21,50,163,58,50,gray
split,target,152,22,50,148,66,50,199,24,50,olive green
split,target,271,31,50,306,10,50,21,42,50,purple
split,target,218,24,50,283,19,50,146,90,50,blue
close,target,151,35,50,114,48,50,129,73,50,olive green
close,target,169,36,50,81,22,50,86,13,50,blue
split,target,17,92,50,5,86,50,51,42,50,orange
split,target,139,42,50,61,30,50,91,2,50,green
split,target,147,19,50,60,20,50,253,16,50,green
close,target,302,1,50,273,7,50,212,29,50,gray?
split,target,182,19,50,130,12,50,359,86,50,blue
close,target,72,23,50,68,36,50,118,20,50,brown
close,distr1,159,71,50,138,69,50,134,84,50,blue/green
far,target,178,75,50,82,71,50,20,32,50,blue
close,target,18,84,50,26,80,50,19,24,50,"no problem, i don't think i'm giving the best descriptions / dark orange"
split,target,78,90,50,120,49,50,232,44,50,yellow
close,distr1,324,14,50,333,62,50,326,61,50,purple
close,target,216,30,50,215,72,50,200,63,50,gray/blue
far,target,287,71,50,173,26,50,101,34,50,my vocabulary is lacking / otherwise i'd give accurate descriptions lol / purple
close,target,233,7,50,7,20,50,150,0,50,blue/gray
close,target,10,42,50,339,67,50,350,53,50,orange/red
far,target,188,36,50,209,93,50,103,85,50,light blue
split,target,149,88,50,128,93,50,163,24,50,light green
split,target,118,26,50,158,49,50,240,5,50,olive green
split,distr1,255,51,50,287,27,50,339,77,50,purple
close,target,314,59,50,315,19,50,278,29,50,bright pink
far,target,239,57,50,191,42,50,4,62,50,dark blue
far,target,187,86,50,236,82,50,328,67,50,light blue
close,distr1,129,49,50,146,97,50,77,56,50,dark green
far,target,72,88,50,187,41,50,29,13,50,yellow
far,distr2,155,74,50,274,4,50,97,15,50,green
far,target,20,81,50,103,92,50,145,6,50,orange
far,target,128,23,50,19,37,50,241,35,50,green
close,target,98,16,50,156,25,50,130,33,50,brown?
split,target,90,92,50,123,98,50,224,61,50,green/yellow
far,distr2,69,15,50,303,54,50,21,47,50,brown
split,target,101,22,50,124,50,50,192,44,50,tan* / olive green
close,target,266,46,50,233,71,50,264,32,50,bright purple
close,target,131,21,50,149,63,50,102,53,50,dark green
far,target,34,52,50,201,8,50,136,58,50,orange
split,target,295,74,50,273,40,50,11,24,50,bright purple
far,target,296,98,50,82,87,50,252,19,50,bright purple
far,target,126,51,50,1,32,50,197,11,50,green
far,target,158,14,50,134,46,50,318,96,50,blue/green / hope you have a wonderful day
split,target,225,72,50,226,49,50,140,82,50,blue :D
close,target,56,4,50,197,24,50,125,7,50,grey
split,target,27,12,50,59,11,50,234,60,50,brownish color
far,target,52,43,50,321,48,50,161,75,50,gold
split,target,355,69,50,331,90,50,164,32,50,red
close,target,183,3,50,351,11,50,345,39,50,grey
far,target,35,46,50,254,54,50,173,27,50,gold
close,target,111,90,50,106,69,50,160,95,50,neon green
close,target,303,63,50,277,44,50,312,29,50,neon purple
far,target,317,41,50,57,72,50,163,10,50,violet
split,target,237,45,50,233,87,50,40,62,50,darker blue
split,target,274,8,50,9,22,50,150,82,50,grey
far,target,30,96,50,147,57,50,216,16,50,orange
split,target,146,49,50,166,64,50,58,27,50,green
split,target,163,5,50,49,23,50,196,92,50,grey
far,target,29,43,50,72,22,50,267,70,50,tan
far,target,152,41,50,260,54,50,35,18,50,green
close,target,304,72,50,280,49,50,316,36,50,hi / neon violet
far,target,313,60,50,89,29,50,36,54,50,violet
split,target,61,36,50,46,40,50,192,8,50,pale green
far,target,92,94,50,168,42,50,30,67,50,neon green
close,target,12,17,50,352,15,50,167,0,50,brownish
close,target,294,25,50,291,63,50,311,80,50,pale violet
split,target,318,84,50,332,49,50,138,56,50,neon pink
close,target,237,55,50,217,98,50,268,37,50,dark blue
far,target,304,86,50,23,13,50,162,20,50,violet
split,target,168,48,50,150,68,50,312,44,50,pale teal
split,target,176,73,50,189,74,50,95,41,50,teal / sky blue
split,target,276,42,50,300,28,50,62,19,50,purple / darker purple
split,target,8,14,50,353,52,50,163,81,50,brown
close,target,115,45,50,84,94,50,90,59,50,dark green
close,target,267,68,50,248,53,50,281,61,50,dark purple
far,target,131,26,50,23,33,50,250,20,50,green
far,target,263,78,50,212,81,50,283,7,50,purple
split,distr1,278,41,50,260,40,50,156,57,50,pale purple
close,target,126,98,50,159,68,50,109,62,50,neon green
close,target,84,65,50,156,58,50,149,99,50,golden green
far,target,299,50,50,81,44,50,12,62,50,violet
far,target,45,39,50,96,92,50,130,6,50,tan
split,target,157,16,50,147,42,50,331,52,50,darker green / more grey
close,target,60,2,50,215,12,50,171,18,50,lighter grey
far,target,254,78,50,188,76,50,22,4,50,purplish blue
far,target,355,69,50,125,37,50,237,63,50,red
close,target,153,34,50,163,28,50,175,77,50,pea green
close,target,319,9,50,244,18,50,299,35,50,brownish violet
close,distr1,254,13,50,260,0,50,324,15,50,dark greyish violet
far,target,52,89,50,187,84,50,328,68,50,gold
split,target,59,2,50,151,17,50,337,50,50,grey
far,target,125,57,50,276,82,50,358,3,50,green
close,target,314,7,50,264,22,50,288,34,50,grey
split,distr1,332,35,50,340,94,50,210,31,50,pale pink
split,target,304,46,50,309,97,50,243,93,50,purple is the object
split,target,281,54,50,253,87,50,78,41,50,purple is the object
close,target,252,54,50,275,39,50,267,30,50,the blue-ish one
close,target,275,29,50,267,72,50,288,86,50,lightest block
split,target,57,16,50,113,31,50,221,48,50,most olive green one
close,target,265,23,50,279,6,50,303,26,50,most regular purple??
far,target,123,92,50,241,69,50,307,39,50,green
close,target,65,10,50,148,23,50,139,9,50,most brown looking one
far,target,164,68,50,152,11,50,57,69,50,teal
split,target,185,25,50,195,57,50,359,5,50,faded blue
split,target,182,14,50,207,55,50,316,46,50,gray looking one
close,target,228,88,50,239,49,50,283,59,50,brightest blue
close,target,70,43,50,92,75,50,141,62,50,yellow-brown one
close,target,126,21,50,159,37,50,171,19,50,olive green
far,target,176,7,50,145,63,50,286,9,50,gray
split,target,56,14,50,38,16,50,345,78,50,"light brown / they both look siml / sorry, brighter of the two"
far,target,241,68,50,41,68,50,92,39,50,"sorry, they really look the same / blue"
far,target,88,42,50,302,64,50,120,4,50,green
far,distr2,44,27,50,306,4,50,17,43,50,brown
split,distr1,281,4,50,119,4,50,179,66,50,gray
close,target,84,53,50,57,82,50,49,56,50,one with most green in it
split,target,101,97,50,146,88,50,32,80,50,bright green
close,target,264,83,50,293,61,50,288,93,50,most blue looking one
split,target,327,1,50,91,7,50,9,81,50,most gray
split,target,59,33,50,78,23,50,341,46,50,most yellowish one
close,target,201,78,50,214,36,50,215,71,50,brightest
close,distr1,230,91,50,227,40,50,218,49,50,darkest blue
close,target,140,71,50,165,58,50,152,87,50,brightest green
split,target,224,20,50,288,33,50,28,88,50,flat purple
far,target,27,92,50,213,44,50,35,18,50,orange
close,distr2,325,51,50,262,23,50,297,53,50,bright pink
close,target,255,34,50,233,98,50,225,83,50,rpurple
close,target,305,34,50,267,72,50,285,86,50,light but flat pink
far,target,3,90,50,121,39,50,220,78,50,red
split,target,58,99,50,72,77,50,239,84,50,brightest yellow
far,target,272,42,50,23,6,50,115,70,50,purple
far,target,278,28,50,231,80,50,98,20,50,purple
far,target,13,42,50,293,71,50,245,80,50,most orange
far,target,258,2,50,64,19,50,354,97,50,basic gray
close,target,197,15,50,212,94,50,218,38,50,most gray of them
split,target,272,45,50,243,32,50,168,68,50,the most pinkish puple
far,target,159,67,50,88,94,50,344,8,50,greenish one
split,target,19,23,50,12,40,50,148,19,50,flat brownish one
split,distr1,156,8,50,92,6,50,38,66,50,darker gray
far,target,204,74,50,283,78,50,82,3,50,blue
split,target,60,25,50,76,71,50,244,69,50,yellowish brown
far,target,174,55,50,296,93,50,58,17,50,light teal
far,target,214,82,50,350,60,50,318,89,50,blue one
split,target,252,18,50,317,12,50,250,92,50,purple gray with no pink
close,target,225,68,50,274,22,50,245,45,50,most blue
split,distr1,180,23,50,192,26,50,305,99,50,Hi / Target is green-blue square
close,distr2,239,20,50,281,33,50,278,57,50,Target is darkest purple
